id;title;points;thema_id;answer_id
1;What are protein built?;100;1;1
2;Which nucleotide participate in the composition of the RNA molecule?;200;1;2
3;What is the process in which the information is converted from DNA to RNA?;300;1;3
4;Which cell organel is translated by RNA by constructing proteins of amino acids?;400;1;4
5;What are the protein encoding and protein non-encoding regions in DNA sequences?;500;1;5
6;Which author and in which work does he represent the image of the city as a gloomy, ominous and depressing space?;100;2;6
7;What does the name of the main character Seraphim from the story of Yordan Yovkov "Seraphim" mean?;200;2;7
8;From which work is the character Lazar Glaushev?;300;2;8
9;Which author describes the beloved as a gift force and the love trembling as a spiritual experience?;400;2;9
10;Who is the technique in the literature in the past in order to show what is the reason for a set of circumstances?;500;2;10
11;What is the smallest unit for measuring information?;100;3;11
12;For which loop is it guaranteed to be executed at least once?;200;3;12
13;In which programming language is the console.log command?;300;3;13
14;Which elements in HTML occupy only part of the content of the text but can have padding and margins added on all four sides?;400;3;14
15;What are drivers?;500;3;15
16;Which is considered the first human technology?;100;4;16
17;Who is the first person to step on the moon and what year?;200;4;17
18;Who is Jean D'Arc's homeland?;300;4;18
19;What is the oldest civilization in the world?;400;4;19
20;Which countries are members of the Allies during World War II?;500;4;20
21;Which DC character comes from the planet Kripton?;100;5;21
22;Which avenger uses a ring to open portals to other dimensions?;200;5;22
23;Who is the villain in the series The League of Justice?;300;5;23
24;Against which avenger faces Thor in Thor Ragnarock part?;400;5;24
25;What power does Hestia's lasso have?;500;5;25
